item,interpreted_args
"{'index': '2', 'methodid': '0x82ad56cb', 'data': '00000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000008000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000001c000000000000000000000000000000000000000000000000000000000000002800000000000000000000000000000000000000000000000000000000000000340000000000000000000000000000000000000000000000000000000000000040000000000000000000000000000000000000000000000000000000000000004c0000000000000000000000000000000000000000000000000000000000000058000000000000000000000000000000000000000000000000000000000000006400000000000000000000000005806e416da447b267cea759358cf22cc41fae80f00000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000060000000000000000000000000000000000000000000000000000000000000002470a08231000000000000000000000000747001f7dd22202ccad0b070d9e7c577c8578218000000000000000000000000000000000000000000000000000000000000000000000000000000009d1db8253105b007ddde65ce262f701814b911250000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000006000000000000000000000000000000000000000000000000000000000000000244d2301cc000000000000000000000000747001f7dd22202ccad0b070d9e7c577c8578218000000000000000000000000000000000000000000000000000000000000000000000000000000006581e59a1c8da66ed0d313a0d4029dce2f746cc500000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000060000000000000000000000000000000000000000000000000000000000000002470a08231000000000000000000000000747001f7dd22202ccad0b070d9e7c577c8578218000000000000000000000000000000000000000000000000000000000000000000000000000000007eeca4205ff31f947edbd49195a7a88e6a91161b00000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000060000000000000000000000000000000000000000000000000000000000000002470a08231000000000000000000000000747001f7dd22202ccad0b070d9e7c577c8578218000000000000000000000000000000000000000000000000000000000000000000000000000000009dad8a1f64692adeb74aca26129e0f16897ff4bb00000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000060000000000000000000000000000000000000000000000000000000000000002470a08231000000000000000000000000747001f7dd22202ccad0b070d9e7c577c8578218000000000000000000000000000000000000000000000000000000000000000000000000000000008239fbb3e3d0c2cdfd7888d8af7701240ac4dca400000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000060000000000000000000000000000000000000000000000000000000000000002470a08231000000000000000000000000747001f7dd22202ccad0b070d9e7c577c8578218000000000000000000000000000000000000000000000000000000000000000000000000000000007f8e75356015fecfaff66e2b34f181a093dc451900000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000060000000000000000000000000000000000000000000000000000000000000002470a08231000000000000000000000000747001f7dd22202ccad0b070d9e7c577c857821800000000000000000000000000000000000000000000000000000000000000000000000000000000c63fab87cb00249190577937ab6e04da0ae6963300000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000060000000000000000000000000000000000000000000000000000000000000002470a08231000000000000000000000000747001f7dd22202ccad0b070d9e7c577c857821800000000000000000000000000000000000000000000000000000000', 'details': 'call', 'to': '0x9d1dB8253105b007DDDE65Ce262f701814B91125', 'method': 'eth_call', 'ExtraParams': 'latest', 'signature': 'aggregate3(calls(address,bool,bytes)[])', 'function_name': 'aggregate3'}","{'calls': {'type': '(address,bool,bytes)[]', 'data': [[{'type': 'address', 'data': '0x5806e416da447b267cea759358cf22cc41fae80f'}, {'type': 'bool', 'data': True}, {'type': 'bytes', 'data': '0x70a08231000000000000000000000000747001f7dd22202ccad0b070d9e7c577c8578218'}], [{'type': 'address', 'data': '0x9d1db8253105b007ddde65ce262f701814b91125'}, {'type': 'bool', 'data': True}, {'type': 'bytes', 'data': '0x4d2301cc000000000000000000000000747001f7dd22202ccad0b070d9e7c577c8578218'}], [{'type': 'address', 'data': '0x6581e59a1c8da66ed0d313a0d4029dce2f746cc5'}, {'type': 'bool', 'data': True}, {'type': 'bytes', 'data': '0x70a08231000000000000000000000000747001f7dd22202ccad0b070d9e7c577c8578218'}], [{'type': 'address', 'data': '0x7eeca4205ff31f947edbd49195a7a88e6a91161b'}, {'type': 'bool', 'data': True}, {'type': 'bytes', 'data': '0x70a08231000000000000000000000000747001f7dd22202ccad0b070d9e7c577c8578218'}], [{'type': 'address', 'data': '0x9dad8a1f64692adeb74aca26129e0f16897ff4bb'}, {'type': 'bool', 'data': True}, {'type': 'bytes', 'data': '0x70a08231000000000000000000000000747001f7dd22202ccad0b070d9e7c577c8578218'}], [{'type': 'address', 'data': '0x8239fbb3e3d0c2cdfd7888d8af7701240ac4dca4'}, {'type': 'bool', 'data': True}, {'type': 'bytes', 'data': '0x70a08231000000000000000000000000747001f7dd22202ccad0b070d9e7c577c8578218'}], [{'type': 'address', 'data': '0x7f8e75356015fecfaff66e2b34f181a093dc4519'}, {'type': 'bool', 'data': True}, {'type': 'bytes', 'data': '0x70a08231000000000000000000000000747001f7dd22202ccad0b070d9e7c577c8578218'}], [{'type': 'address', 'data': '0xc63fab87cb00249190577937ab6e04da0ae69633'}, {'type': 'bool', 'data': True}, {'type': 'bytes', 'data': '0x70a08231000000000000000000000000747001f7dd22202ccad0b070d9e7c577c8578218'}]]}}"
"{'index': '5', 'methodid': '0xbf92857c', 'data': '000000000000000000000000747001f7dd22202ccad0b070d9e7c577c8578218', 'details': 'call', 'to': '0x9261b5891d3556e829579964B38fe706D0A2D04a', 'method': 'eth_call', 'ExtraParams': 'latest', 'signature': 'getUserAccountData(user[address])', 'function_name': 'getUserAccountData'}","{'user': {'type': 'address', 'data': '0x747001f7dd22202ccad0b070d9e7c577c8578218'}}"
"{'index': '7', 'methodid': '0x51974cc0', 'data': '00000000000000000000000040c33ccbf44f554e1bf8379be1a5151ab0f80f65000000000000000000000000747001f7dd22202ccad0b070d9e7c577c8578218', 'details': 'call', 'to': '0xfb618D1e361C362adDE4E148A4Dc85465a0A4A22', 'method': 'eth_call', 'ExtraParams': 'latest', 'signature': 'getUserReservesData(provider[address],user[address])', 'function_name': 'getUserReservesData'}","{'provider': {'type': 'address', 'data': '0x40c33ccbf44f554e1bf8379be1a5151ab0f80f65'}, 'user': {'type': 'address', 'data': '0x747001f7dd22202ccad0b070d9e7c577c8578218'}}"
"{'index': '9', 'methodid': '0xec489c21', 'data': '00000000000000000000000040c33ccbf44f554e1bf8379be1a5151ab0f80f65', 'details': 'call', 'to': '0xfb618D1e361C362adDE4E148A4Dc85465a0A4A22', 'method': 'eth_call', 'ExtraParams': 'latest', 'signature': 'getReservesData(provider[address])', 'function_name': 'getReservesData'}","{'provider': {'type': 'address', 'data': '0x40c33ccbf44f554e1bf8379be1a5151ab0f80f65'}}"
"{'index': '69', 'methodid': '0xd1946dbc', 'data': '', 'details': 'call', 'to': '0x9261b5891d3556e829579964B38fe706D0A2D04a', 'method': 'eth_call', 'ExtraParams': 'latest', 'signature': 'getReservesList()', 'function_name': 'getReservesList'}",{}
"{'index': '76', 'methodid': '0x1dd7cecf', 'data': '000000000000000000000000747001f7dd22202ccad0b070d9e7c577c8578218000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000046162677400000000000000000000000000000000000000000000000000000000', 'details': 'call', 'to': '0x4381dC2aB14285160c808659aEe005D51255adD7', 'method': 'eth_call', 'ExtraParams': 'latest', 'signature': 'getBalance(accountAddress[address],denom[string])', 'function_name': 'getBalance'}","{'accountAddress': {'type': 'address', 'data': '0x747001f7dd22202ccad0b070d9e7c577c8578218'}, 'denom': {'type': 'string', 'data': 'abgt'}}"
"{'index': '77', 'methodid': '0xb067c623', 'data': '000000000000000000000000747001f7dd22202ccad0b070d9e7c577c8578218000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000a0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003e8000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000', 'details': 'call', 'to': '0xd9A998CaC66092748FfEc7cFBD155Aae1737C2fF', 'method': 'eth_call', 'ExtraParams': 'latest', 'signature': 'getDelegatorValidators(delegatorAddress[address],pagination(string,uint64,uint64,bool,bool))', 'function_name': 'getDelegatorValidators'}","{'delegatorAddress': {'type': 'address', 'data': '0x747001f7dd22202ccad0b070d9e7c577c8578218'}, 'pagination': {'type': '(string,uint64,uint64,bool,bool)', 'data': ('', 0, 1000, True, False)}}"
"{'index': '88', 'methodid': '0x9d23d9f2', 'data': '000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000030000000000000000000000007eeca4205ff31f947edbd49195a7a88e6a91161b0000000000000000000000009dad8a1f64692adeb74aca26129e0f16897ff4bb0000000000000000000000008239fbb3e3d0c2cdfd7888d8af7701240ac4dca4', 'details': 'call', 'to': '0x3031fE6A015f367D675476F48499C8A9517cEc34', 'method': 'eth_call', 'ExtraParams': 'latest', 'signature': 'getAssetsPrices(assets[address[]])', 'function_name': 'getAssetsPrices'}","{'assets': {'type': 'address[]', 'data': ['0x7eeca4205ff31f947edbd49195a7a88e6a91161b', '0x9dad8a1f64692adeb74aca26129e0f16897ff4bb', '0x8239fbb3e3d0c2cdfd7888d8af7701240ac4dca4']}}"
"{'index': '92', 'methodid': '0x82ad56cb', 'data': '00000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000000', 'details': 'call', 'to': '0x9d1dB8253105b007DDDE65Ce262f701814B91125', 'method': 'eth_call', 'ExtraParams': 'latest', 'signature': 'aggregate3(calls(address,bool,bytes)[])', 'function_name': 'aggregate3'}","{'calls': {'type': '(address,bool,bytes)[]', 'data': []}}"
"{'index': '238', 'methodid': '0xdd62ed3e', 'data': '000000000000000000000000747001f7dd22202ccad0b070d9e7c577c85782180000000000000000000000009261b5891d3556e829579964b38fe706d0a2d04a', 'details': 'call', 'to': '0x9DAD8A1F64692adeB74ACa26129e0F16897fF4BB', 'method': 'eth_call', 'ExtraParams': 'latest', 'signature': 'allowance(owner[address],spender[address])', 'function_name': 'allowance'}","{'owner': {'type': 'address', 'data': '0x747001f7dd22202ccad0b070d9e7c577c8578218'}, 'spender': {'type': 'address', 'data': '0x9261b5891d3556e829579964b38fe706d0a2d04a'}}"
